	Game Name	Percent Positive Reviews	Number of Reviews	First Genre	Second Genre	Third Genre	Price	Peak Number of Players
83	Forza_Horizon_5	88	153,741	Racing	Open World	Driving	59.99	27744
84	Soundpad	96	61,616	Utilities	Audio Production	Music	4.99	17163
85	Europa_Universalis_IV	86	84,364	Grand Strategy	Strategy	Historical	39.99	17286
86	Cookie_Clicker	97	56,992	Clicker	Idler	Casual	4.99	11963
87	Euro_Truck_Simulator_2	97	550,207	Driving	Transportation	Simulation	19.99	36610
88	Factorio	97	143,083	Automation	Base Building	Resource Management	35.0	15745
89	BeamNGdrive	97	215,240	Simulation	Driving	Realistic	24.99	17956
90	Street_Fighter_6	86	22,562	2D Fighter	Fighting	Character Customization	59.99	24900
91	MONSTER_HUNTER_RISE	81	59,167	Action	RPG	Online Co-Op	39.99	25987
92	Bloons_TD_6	97	263,277	Tower Defense	Strategy	Multiplayer	13.99	10868
93	Battlefield_V	71	171,708	FPS	Multiplayer	World War II	49.99	39758
94	New_World	70	233,790	Open World	Massively Multiplayer	MMORPG	39.99	11677
95	Path_of_Exile	88	217,339	Free to Play	Dark Fantasy	Action RPG	0.0	12005
96	Russian_Fishing_4	48	59,675	Fishing	Free to Play	Simulation	0.0	20144
97	Dragons_Dogma_Dark_Arisen	88	31,389	RPG	Open World	Character Customization	29.99	9384
98	Arma_3	91	152,066	Military	Action	Multiplayer	29.99	14156
99	VPetSimulator	98	37,325	Free to Play	Cute	Casual	0.0	15434
